ID,Name,Latitude,Longitude,League,PrimaryColor,SecondaryColor,Level
FSC,Frisco RoughRiders,33.1507,-96.8236,100,gray,,AA
MID,Midland RockHounds,31.9973,-102.0779,100,gray,,AA
NWA,Northwest Arkansas Naturals,36.1599,-94.1944,100,gray,,AA
SA,San Antonio Missions,29.4241,-98.4936,100,gray,,AA
SPR,Springfield Cardinals,37.2109,-93.28,100,gray,,AA
TUL,Tulsa Drillers,36.154,-95.9928,100,gray,,AA
WCH,Wichita Wind Surge,37.6872,-97.3301,100,gray,,AA
AKR,Akron RubberDucks,41.0814,-81.519,100,gray,,AA
ALT,Altoona Curve,40.5187,-78.3947,100,gray,,AA
BNH,Binghamton Rumble Ponies,42.0987,-75.918,100,gray,,AA
BOW,Bowie Baysox,39.0068,-76.7791,100,gray,,AA
ERI,Erie SeaWolves,42.1274,-80.0809,100,gray,,AA
HAR,Harrisburg Senators,40.2561,-76.8898,100,gray,,AA
HRT,Hartford Yard Goats,41.7713,-72.6745,100,gray,,AA
NH,New Hampshire Fisher Cats,42.9813,-71.4663,100,gray,,AA
POR,Portland Sea Dogs,43.6591,-70.2568,100,gray,,AA
REA,Reading Fightin Phils,40.3648,-75.9344,100,gray,,AA
RCH,Richmond Flying Squirrels,37.572,-77.4643,100,gray,,AA
SOM,Somerset Patriots,40.5608,-74.5533,100,gray,,AA
BIL,Biloxi Shuckers,30.396,-88.8853,100,gray,,AA
BIR,Birmingham Barons,33.5075,-86.8105,100,gray,,AA
CHT,Chattanooga Lookouts,35.0456,-85.3097,100,gray,,AA
MIS,Mississippi Braves,32.2608,-90.5269,100,gray,,AA
MON,Montgomery Biscuits,32.3792,-86.3077,100,gray,,AA
PEN,Pensacola Blue Wahoos,30.4213,-87.2169,100,gray,,AA
RC,Rocket City Trash Pandas,34.6993,-86.7483,100,gray,,AA
TEN,Tennessee Smokies,35.9889,-83.6046,100,gray,,AA
BEL,Beloit Snappers,42.5083,-89.0318,50,gray,,A
CED,Cedar Rapids Kernels,41.9779,-91.6656,50,gray,,A
DAY,Dayton Dragons,39.7645,-84.1863,50,gray,,A
FW,Fort Wayne TinCaps,41.0793,-85.1394,50,gray,,A
GL,Great Lakes Loons,43.6093,-84.238,50,gray,,A
LC,Lake County Captains,41.6404,-81.4366,50,gray,,A
LAN,Lansing Lugnuts,42.7325,-84.5555,50,gray,,A
PEO,Peoria Chiefs,40.6936,-89.589,50,gray,,A
QC,Quad Cities River Bandits,41.519,-90.5827,50,gray,,A
SB,South Bend Cubs,41.6699,-86.256,50,gray,,A
WM,West Michigan Whitecaps,43.0414,-85.6587,50,gray,,A
WIS,Wisconsin Timber Rattlers,44.2828,-88.469,50,gray,,A
ABE,Aberdeen IronBirds,39.5307,-76.1869,50,gray,,A
ASH,Asheville Tourists,35.5951,-82.5515,50,gray,,A
BG,Bowling Green Hot Rods,36.9685,-86.4808,50,gray,,A
BRO,Brooklyn Cyclones,40.6782,-73.9442,50,gray,,A
GRE,Greensboro Grasshoppers,36.0726,-79.792,50,gray,,A
GRV,Greenville Drive,,,50,gray,,A
HIK,Hickory Crawdads,35.7485,-81.379,50,gray,,A
HUD,Hudson Valley Renegades,41.5279,-73.9616,50,gray,,A
JS,Jersey Shore BlueClaws,39.9653,-74.3118,50,gray,,A
ROM,Rome Braves,34.257,-85.1647,50,gray,,A
WIL,Wilmington Blue Rocks,34.2104,-77.8868,50,gray,,A
WS,Winston-Salem Dash,36.0999,-80.2442,50,gray,,A
EUG,Eugene Emeralds,44.0596,-123.0664,50,gray,,A
EVE,Everett AquaSox,47.9672,-122.2015,50,gray,,A
HIL,Hillsboro Hops,45.5228,-122.9898,50,gray,,A
SPO,Spokane Indians,47.6588,-117.426,50,gray,,A
TC,Tri-City Dust Devils,46.2305,-119.0922,50,gray,,A
VAN,Vancouver Canadians,49.2827,-123.1207,50,gray,,A
AUG,Augusta GreenJackets,33.4947,-82.0022,50,gray,,Low A
CAR,Carolina Mudcats,35.8166,-78.2707,50,gray,,Low A
CHN,Charleston RiverDogs,32.7765,-79.9309,50,gray,,Low A
CBA,Columbia Fireflies,34.0186,-81.0319,50,gray,,Low A
DLM,Delmarva Shorebirds,38.5827,-75.5277,50,gray,,Low A
DEW,Down East Wood Ducks,35.2627,-77.5816,50,gray,,Low A
FAY,Fayatteville Woodpeckers,35.0553,-78.884,50,gray,,Low A
FRE,Fredericksburg Nationals,38.3174,-77.5089,50,gray,,Low A
KNP,Kannapolis Cannon Ballers,35.4874,-80.6217,50,gray,,Low A
LYN,Lynchburg Hillcats,37.3922,-79.1657,50,gray,,Low A
MYR,Myrtle Beach Pelicans,33.6891,-78.8867,50,gray,,Low A
SAL,Salem Red Sox,42.5195,-70.8967,50,gray,,Low A
BRA,Bradenton Marauders,27.4989,-82.5748,50,gray,,Low A
CLR,Clearwater Threshers,27.9709,-82.7317,50,gray,,Low A
DYT,Daytona Tortugas,29.2108,-81.0228,50,gray,,Low A
DUN,Dunedin Blue Jays,28.0041,-82.7873,50,gray,,Low A
FM,Fort Myers Mighty Mussels,26.6406,-81.8723,50,gray,,Low A
JUP,Jupiter Hammerheads,26.9342,-80.0942,50,gray,,Low A
LKL,Lakeland Flying Tigers,28.0395,-81.9498,50,gray,,Low A
PB,Palm Beach Cardinals,26.7056,-80.0364,50,gray,,Low A
SL,St. Lucie Mets,27.4992,-80.3422,50,gray,,Low A
TAM,Tampa Tarpons,27.9506,-82.4572,50,gray,,Low A
FRN,Fresno Grizzlies,36.7378,-119.7871,50,gray,,Low A
IE,Inland Empire 66ers,34.9592,-116.4194,50,gray,,Low A
LE,Lake Elsinore Storm,33.6681,-117.3273,50,gray,,Low A
MOD,Modesto Nuts,37.6393,-120.997,50,gray,,Low A
RCM,Rancho Cucamonga Quakes,34.1064,-117.5931,50,gray,,Low A
SJ,San Jose Giants,37.3382,-121.8863,50,gray,,Low A
STK,Stockton Ports,37.9577,-121.2908,50,gray,,Low A
VIS,Visalia Rawhide,36.3302,-119.2921,50,gray,,Low A
